Cgla4	Cniv4	Ndel4	Cbra4	Nbac4	Lklu4	Spar4	Scer4
YMR187C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR194C-B	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR196W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR211W	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YMR250W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR251W-A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR252C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR253C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR271C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR279C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YMR291W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YNL014W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNL065W	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YNL093W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNL106C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNL146C-A	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNL194C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNL195C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNL202W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNL223W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNL224C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNR034W-A	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNR044W	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YNR060W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YNR069C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOL015W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOL052C-A	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOL055C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOL083W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOL084W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOL126C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOR032W-A	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YOR162C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOR163W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOR173W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YOR178C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOR186W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOR338W	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YOR344C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YOR347C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YOR391C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL018W	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
YPL019C	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
YPL033C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL054W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL092W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL095C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL110C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL165C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL171C	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
YPL186C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL187W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL222W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL223C	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YPL230W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPR003C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPR030W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPR160W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YPR184W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YPR192W	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
snR5	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
