ORF,O1,O2,N1,N2,S1,S2,Q1,Q2
CAGL0G07887g,1296,961,1203,1263,526,1069,1613,839
CAGL0G07909g,2518,1808,2692,2557,1449,1636,3058,1637
CAGL0G07931g,1102,710,817,669,364,322,892,598
CAGL0G07953g,701,715,609,433,375,380,571,565
CAGL0G07975g,2166,1416,1490,887,377,1115,1327,946
CAGL0G07997g,1278,1082,874,686,494,889,979,644
CAGL0G08019g,389,284,759,440,184,256,350,348
CAGL0G08041g,9543,8912,6781,4377,3568,4352,6031,5742
CAGL0G08063g,673,594,849,920,281,278,854,591
CAGL0G08085g,1104,732,1164,1029,401,691,965,465
CAGL0G08107g,3,1,1,1,1,4,0,0
CAGL0G08129g,1931,1172,1827,1811,714,1069,1890,1026
CAGL0G08151g,3306,2558,1872,1838,1502,1746,2165,1838
CAGL0G08173g,66460,48709,50454,37008,29881,36931,49273,31679
CAGL0G08195g,985,710,934,699,375,407,952,714
CAGL0G08217g,309,208,233,188,121,85,207,176
CAGL0G08228g,163,135,149,119,74,76,133,104
CAGL0G08250g,5967,4601,4558,3266,2254,3300,4063,3232
CAGL0G08272g,5065,2826,3358,2843,1827,2545,3691,2175
CAGL0G08294g,2319,1870,1179,1000,942,1552,1395,1175
CAGL0G08316g,1133,935,625,462,339,943,769,465
CAGL0G08338g,944,644,1035,1293,419,670,1265,587
CAGL0G08360g,520,395,566,593,178,375,576,359
CAGL0G08382g,1115,824,812,804,409,697,1114,581
CAGL0G08404g,684,457,591,488,236,477,586,414
CAGL0G08426g,382,289,471,443,139,322,408,269
CAGL0G08448g,691,419,883,716,258,456,763,413
CAGL0G08470g,398,257,347,307,146,175,323,237
CAGL0G08492g,285,249,275,214,100,228,327,186
CAGL0G08514r,2,1,0,0,0,0,2,1
CAGL0G08558g,2085,1434,1790,1402,973,1262,1821,1070
CAGL0G08602g,2263,1959,2124,1609,875,1541,2308,2378
CAGL0G08624g,2538,1674,2045,1478,1050,1235,1425,1014
CAGL0G08646g,293,280,415,294,223,337,539,453
CAGL0G08668g,1667,1359,1710,1474,735,832,1433,960
CAGL0G08690g,1280,931,1415,1608,745,685,1616,909
CAGL0G08712g,10125,6689,8768,8193,4366,4491,8479,5699
CAGL0G08734g,2074,1118,2617,2165,963,1194,2502,1002
CAGL0G08756g,3337,2341,2904,2447,1189,2021,3133,1983
CAGL0G08778g,1298,931,854,554,452,751,845,724
CAGL0G08800g,1311,827,1176,835,252,752,1105,723
CAGL0G08822g,1944,1265,1576,1298,485,1185,1707,1000
CAGL0G08844g,463,358,510,483,135,306,440,225
CAGL0G08866g,1556,1107,1281,969,481,1033,1391,872
CAGL0G08888g,541,483,457,384,195,457,521,361
CAGL0G08910g,401,296,413,299,191,265,360,204
CAGL0G08932g,699,538,777,807,418,650,775,480
CAGL0G08954g,1024,1038,1160,1107,421,469,1063,799
CAGL0G08976r,0,0,1,0,0,0,1,0
CAGL0G09020g,471,398,884,1250,274,280,996,526
CAGL0G09042g,305,209,285,184,100,178,212,168
CAGL0G09064g,111,101,178,173,61,49,139,124
CAGL0G09086g,0,0,0,0,0,0,0,0
CAGL0G09108g,3,1,2,0,1,1,1,0
CAGL0G09119g,773,593,610,350,216,518,288,224
CAGL0G09130g,43076,27892,32761,23271,18114,20855,33803,18929
